game_title,image_url,genre,short_description,player_mode
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Fighting,"Unleash your fighter. World tour, battle hub, and classic fights ignite a vibrant, new era of knockout brawls.",Both
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,Shooter,"1896: Bayou's curse. Hunt monsters, fight rivals. Survive the hunt.",Both
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,RPG,"Echoes of the lost world whisper. Ascend as a Rover, battling monstrous echoes in a dying land, seeking forgotten truths.",Both
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Shooter,"Forge your legacy on Everon. Arma Reforger: a sandbox of strategic warfare and unyielding realism. Survive, adapt, conquer.",Both
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Horror,"Scrap metal, eerie moons, and your sanity's survival. Collect your bounty, or become another forgotten echo.",Multiplayer
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,Shooter,"Extract or perish. Intense, tactical FPS where every bullet, every decision, means survival. Are you ready for the infinite arena?",Multiplayer
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,Action RPG,"New York's urban fantasy awaits! Explore chaotic zones, master stylish combat, and uncover secrets in this anime action RPG.",Singleplayer
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Survival,"Survive, build, conquer primal worlds teeming with dinosaurs and mythic beasts. Master the ultimate prehistoric adventure.",Both
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategy,"Forge empires, shape destinies. Your turn to build the ultimate civilization, from stone age to the stars. Will you be remembered?",Both
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MOBA,Unleash divine fury in SMITE 2. Legendary gods clash in a new era of magical mayhem and epic team battles. Conquer the battlefield!,Multiplayer
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,MMORPG,"Forge your legend in a world of endless skies and shifting realms. Conquer, explore, and claim your destiny.",Multiplayer
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,RPG,"Forge your legend, survive the shroud. Build, craft, and explore a dying world consumed by mist and magic.",Both
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horror,"Unravel the terrifying secrets of a forgotten toy factory, where playtime turned into a nightmarish escape.",Singleplayer
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg,Adventure,"Two souls, fractured. One magical world, reborn. Can they mend their bond before it's too late?",Multiplayer
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg,Action,"Unleash your inner hero. Forge legends, crush armies, and shape history in a chaotic, origin-spanning saga.",Singleplayer
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg,Sports,"Unleash the frozen fury. Grip the stick, feel the ice, and forge your legend. This is your game.",Both
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg,Roguelike,"Unleash roguelike chaos. Build absurd poker hands, defy odds, and become the ultimate cosmic card shark in this addictive, mind-bending journey.",Singleplayer
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg,RPG,"Unravel existential dread and forgotten memories within a surreal, hand-drawn world where your inner demons take physical form.",Singleplayer
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,RPG,"Forge your destiny in a dreamlike kingdom. Unleash magic, forge bonds, and reclaim a fractured world.",Singleplayer
Indiana Jones and the Great Circle,https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg,Adventure,"Unearth ancient mysteries and outwit ruthless rivals as Indy navigates a globe-trotting adventure, all while the world teeters on the brink.",Singleplayer
Hell Let Loose,https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg,Shooter,"Experience brutal, tactical WWII combat. Squad up, communicate, and conquer the battlefield or die trying.",Multiplayer
Super Mario 64,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg,Platformer,"Jump into a vibrant castle, collect stars, and save Princess Peach from Bowser's clutches in this groundbreaking 3D adventure!",Singleplayer
S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg,Shooter,"The Zone calls. Brave radiation, anomalies, and mutated horrors in a vast, open-world Chornobyl. Survive the heart of the unknown.",Singleplayer
STALCRAFT: X,https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg,RPG,"Beyond the Zone, survival breeds legends. Adapt, conquer, and carve your legend in STALCRAFT: X.",Multiplayer
